seq_id,score,coeff_beta
seq135,63.974157067266056,3.0
seq136,63.974157067266056,3.0
seq137,64.08013393585703,3.0
seq138,64.08013393585703,3.0
seq139,64.08013393585703,3.0
seq140,64.2366230246465,3.0
seq141,64.41547116905814,3.0
seq142,64.52059330372781,3.0
seq143,64.52059330372781,3.0
seq144,64.52059330372781,3.0
seq145,64.51738341881374,3.0
seq146,64.51738341881374,3.0
seq147,64.51738341881374,3.0
seq148,64.60600934970851,3.0
seq149,64.60600934970851,3.0
seq150,64.6643489288579,3.0
seq151,64.6643489288579,3.0
seq152,64.7676706017879,3.0
seq153,64.7676706017879,3.0
seq154,64.91636421504583,3.0
seq155,64.91636421504583,3.0
seq156,65.00150423642333,3.0
seq157,65.03367071752336,3.0
seq158,65.03367071752336,3.0
seq159,65.03367071752336,3.0
seq160,65.11062762737285,3.0
seq161,65.11551112983284,3.0
seq162,65.11551112983284,3.0
seq163,65.11551112983284,3.0
seq164,65.04107184136775,3.0
seq165,65.04107184136775,3.0
seq166,65.04107184136775,3.0
seq167,65.04107184136775,3.0
seq168,65.04107184136775,3.0
seq169,65.0816468951376,3.0
seq170,65.0816468951376,3.0
seq171,65.0816468951376,3.0
seq172,65.0816468951376,3.0
seq173,65.0816468951376,3.0
seq174,65.0816468951376,3.0
seq175,65.0816468951376,3.0
seq176,65.27258688940269,3.0
seq177,65.27258688940269,3.0
seq178,65.27258688940269,3.0
seq179,65.27258688940269,3.0
seq180,65.27258688940269,3.0
seq181,65.27258688940269,3.0
seq182,65.27258688940269,3.0
seq183,65.27258688940269,3.0
seq184,65.27258688940269,3.0
seq185,65.27258688940269,3.0
seq186,65.27258688940269,3.0
seq187,65.27258688940269,3.0
seq188,65.27258688940269,3.0
seq189,65.27258688940269,3.0
seq190,65.27258688940269,3.0
seq191,65.27258688940269,3.0
seq192,65.26492527607036,3.0
seq193,65.26492527607036,3.0
seq194,65.27258688940269,3.0
seq195,65.27258688940269,3.0
seq196,65.27258688940269,3.0
seq197,65.27258688940269,3.0
seq198,65.27258688940269,3.0
seq199,65.22838861979182,3.0
seq200,61.68346851243997,3.0
seq201,61.97533170028106,3.0
seq202,61.950338798424376,3.0
seq203,61.92033378036257,3.0
seq204,62.099336085918566,3.0
seq205,62.099336085918566,3.0
seq206,62.085873986976246,3.0
seq207,62.087721667972446,3.0
seq208,62.13497456088178,3.0
seq209,62.176954916228354,3.0
seq210,62.197196445457784,3.0
seq211,62.18729654694508,3.0
seq212,62.38546746561591,3.0
seq213,62.38546746561591,3.0
seq214,62.50714632522738,3.0
seq215,62.50714632522738,3.0
seq216,62.58086505825882,3.0
seq217,62.65347347188966,3.0
seq218,62.687429688819044,3.0
seq219,62.687429688819044,3.0
seq220,62.74825908332498,3.0
seq221,62.74825908332498,3.0
seq222,62.74825908332498,3.0
seq223,62.74825908332498,3.0
seq224,62.75999605471427,3.0
seq225,62.742531200830626,3.0
seq226,62.850694004797155,3.0
seq227,62.89696156386818,3.0
seq228,63.038613157870756,3.0
seq229,63.27102350179168,3.0
seq230,63.36014628155141,3.0
seq231,63.58099657731559,3.0
seq232,63.58099657731559,3.0
seq233,63.83142523950085,3.0
seq234,63.82963755983322,3.0
seq235,63.86576096874383,3.0
seq236,63.86576096874383,3.0
seq237,63.86576096874383,3.0
seq238,64.03574829697823,3.0
seq239,64.03213560701948,3.0
seq240,64.03213560701948,3.0
seq241,64.13296937079188,3.0
seq242,64.13296937079188,3.0
seq243,64.14359834409942,3.0
seq244,64.14359834409942,3.0
seq245,64.14359834409942,3.0
seq246,64.14359834409942,3.0
seq247,64.14359834409942,3.0
seq248,64.14359834409942,3.0
seq249,64.23690337241096,3.0
seq250,64.22359847984688,3.0
seq251,64.22359847984688,3.0
seq252,64.22359847984688,3.0
seq253,64.22359847984688,3.0
seq254,64.4472610616078,3.0
seq255,64.4472610616078,3.0
seq256,64.4472610616078,3.0
seq257,64.63967822908752,3.0
seq258,64.63967822908752,3.0
seq259,64.65288156963226,3.0
seq260,64.70180041831556,3.0
seq261,64.70180041831556,3.0
seq262,64.89809888673388,3.0
seq263,64.89809888673388,3.0
seq264,64.89809888673388,3.0
seq265,64.89809888673388,3.0
seq266,64.89809888673388,3.0
seq267,64.89809888673388,3.0
seq268,64.89809888673388,3.0
seq269,64.89809888673388,3.0
seq270,64.89809888673388,3.0
seq271,65.06049478029351,3.0
seq272,65.06049478029351,3.0
seq273,65.19188571461433,3.0
seq274,65.19188571461433,3.0
seq275,65.19188571461433,3.0
seq276,65.19188571461433,3.0
seq277,65.19188571461433,3.0
seq278,65.19188571461433,3.0
seq279,65.19188571461433,3.0
seq280,65.19188571461433,3.0
seq281,65.19188571461433,3.0
seq282,65.19188571461433,3.0
seq283,65.19188571461433,3.0
seq284,65.19188571461433,3.0
seq285,65.19188571461433,3.0
seq286,65.19188571461433,3.0
seq287,65.19188571461433,3.0
seq288,65.19188571461433,3.0
seq289,65.19188571461433,3.0
seq290,65.19188571461433,3.0
seq291,65.19188571461433,3.0
seq292,65.19188571461433,3.0
seq293,65.19188571461433,3.0
seq294,65.19188571461433,3.0
seq295,65.19188571461433,3.0
seq296,65.19188571461433,3.0
seq297,65.19188571461433,3.0
seq298,65.19188571461433,3.0
seq299,65.19188571461433,3.0
seq300,62.22185936071746,3.0
seq301,62.271827231345846,3.0
seq302,62.32163793714647,3.0
seq303,62.376508790839466,3.0
seq304,62.376508790839466,3.0
seq305,62.376508790839466,3.0
seq306,62.49303088309694,3.0
seq307,62.49303088309694,3.0
seq308,62.568646764212296,3.0
seq309,62.79450757142085,3.0
seq310,62.921550586778494,3.0
seq311,63.04829701438618,3.0
seq312,63.088503923565874,3.0
seq313,63.088503923565874,3.0
seq314,63.088503923565874,3.0
seq315,63.11951617216527,3.0
seq316,63.11951617216527,3.0
seq317,63.1049931611868,3.0
seq318,63.08826857806093,3.0
seq319,63.179363309004316,3.0
seq320,63.20276878285531,3.0
seq321,63.20276878285531,3.0
seq322,63.20276878285531,3.0
seq323,63.20276878285531,3.0
seq324,63.20276878285531,3.0
seq325,63.31632149106316,3.0
seq326,63.46275792531001,3.0
seq327,63.54227051724212,3.0
seq328,63.60683406009987,3.0
seq329,63.67026597964837,3.0
seq330,63.92544652956824,3.0
seq331,63.92544652956824,3.0
seq332,64.17096507799621,3.0
seq333,64.17096507799621,3.0
seq334,64.17096507799621,3.0
seq335,64.17096507799621,3.0
seq336,64.17096507799621,3.0
seq337,64.19898413853944,3.0
seq338,64.19898413853944,3.0
seq339,64.19898413853944,3.0
seq340,64.18013548058893,3.0
seq341,64.18013548058893,3.0
seq342,64.18013548058893,3.0
seq343,64.20809572468234,3.0
seq344,64.20809572468234,3.0
seq345,64.28822246256335,3.0
seq346,64.28822246256335,3.0
seq347,64.28822246256335,3.0
seq348,64.28822246256335,3.0
seq349,64.28822246256335,3.0
seq350,64.38008304380001,3.0
seq351,64.38008304380001,3.0
seq352,64.4883029625284,3.0
seq353,64.45443478060395,3.0
seq354,64.44396234591078,3.0
seq355,64.44396234591078,3.0
seq356,64.45443478060395,3.0
seq357,64.45443478060395,3.0
seq358,64.45443478060395,3.0
seq359,64.45443478060395,3.0
seq360,64.45443478060395,3.0
seq361,64.45443478060395,3.0
seq362,64.50252731875547,3.0
seq363,64.50252731875547,3.0
seq364,64.74904833557223,3.0
seq365,64.86562643908445,3.0
seq366,64.86562643908445,3.0
seq367,64.86562643908445,3.0
seq368,64.86562643908445,3.0
seq369,64.86562643908445,3.0
seq370,64.86562643908445,3.0
seq371,64.93655583724852,3.0
seq372,64.93655583724852,3.0
seq373,64.91953335097706,3.0
seq374,64.91953335097706,3.0
seq375,64.91953335097706,3.0
seq376,64.91953335097706,3.0
seq377,64.91953335097706,3.0
seq378,64.91953335097706,3.0
seq379,64.95797418601191,3.0
seq380,64.95797418601191,3.0
seq381,64.95797418601191,3.0
seq382,64.95797418601191,3.0
seq383,64.95797418601191,3.0
seq384,65.04369810160306,3.0
seq385,65.16531712677399,3.0
seq386,65.16531712677399,3.0
seq387,65.29964540582391,3.0
seq388,65.29964540582391,3.0
seq389,65.29964540582391,3.0
seq390,65.29964540582391,3.0
seq391,65.29964540582391,3.0
seq392,65.29964540582391,3.0
seq393,65.29964540582391,3.0
seq394,65.32409032631946,3.0
seq395,65.32409032631946,3.0
seq396,65.32409032631946,3.0
seq397,65.32409032631946,3.0
seq398,65.32409032631946,3.0
seq399,65.32409032631946,3.0
seq400,62.163997704346386,3.0
seq401,62.24591717354541,3.0
seq402,62.376434423521445,3.0
seq403,62.53245050930692,3.0
seq404,62.53245050930692,3.0
seq405,62.62153690705961,3.0
seq406,62.77474593633394,3.0
seq407,62.80855005349912,3.0
seq408,62.80855005349912,3.0
seq409,62.92693770540037,3.0
seq410,62.985597082948516,3.0
seq411,63.028280799961976,3.0
seq412,63.010512890371984,3.0
seq413,63.00625564688876,3.0
seq414,63.07987249407515,3.0
seq415,63.14663444944723,3.0
seq416,63.14663444944723,3.0
seq417,63.222708811671914,3.0
seq418,63.238365802893576,3.0
seq419,63.238365802893576,3.0
seq420,63.3183433244299,3.0
seq421,63.3183433244299,3.0
seq422,63.3183433244299,3.0
seq423,63.584988664427605,3.0
seq424,63.584988664427605,3.0
seq425,63.584988664427605,3.0
seq426,63.73377751792046,3.0
seq427,63.73377751792046,3.0
seq428,63.779479801254645,3.0
seq429,63.779479801254645,3.0
seq430,63.84866823860196,3.0
seq431,63.89685271141397,3.0
seq432,63.89685271141397,3.0
seq433,63.89685271141397,3.0
seq434,63.89685271141397,3.0
seq435,63.89685271141397,3.0
seq436,63.963660040140006,3.0
seq437,63.963660040140006,3.0
seq438,63.963660040140006,3.0
seq439,63.963660040140006,3.0
seq440,64.06264571729201,3.0
seq441,64.06264571729201,3.0
seq442,64.06264571729201,3.0
seq443,64.06264571729201,3.0
seq444,64.06264571729201,3.0
seq445,64.06264571729201,3.0
seq446,64.06264571729201,3.0
seq447,64.06264571729201,3.0
seq448,64.06264571729201,3.0
seq449,64.09396307415142,3.0
seq450,64.10038501585029,3.0
seq451,64.10066730344795,3.0
seq452,64.10066730344795,3.0
seq453,64.37305589726073,3.0
seq454,64.57474476330033,3.0
seq455,64.64136268282225,3.0
seq456,64.64136268282225,3.0
seq457,64.64136268282225,3.0
seq458,64.64136268282225,3.0
seq459,64.64136268282225,3.0
seq460,64.64187452014531,3.0
seq461,64.64187452014531,3.0
seq462,64.74196984735599,3.0
seq463,64.72784596137377,3.0
seq464,64.72261780221878,3.0
seq465,64.72261780221878,3.0
seq466,64.72261780221878,3.0
seq467,64.72261780221878,3.0
seq468,64.72261780221878,3.0
seq469,64.72261780221878,3.0
seq470,64.72261780221878,3.0
seq471,64.72261780221878,3.0
seq472,64.72871123656832,3.0
seq473,64.72261780221878,3.0
seq474,64.81635299314487,3.0
seq475,64.82885759409938,3.0
seq476,64.82885759409938,3.0
seq477,64.82885759409938,3.0
seq478,64.84574092306494,3.0
seq479,64.92732901544038,3.0
seq480,64.92732901544038,3.0
seq481,64.92732901544038,3.0
seq482,64.92732901544038,3.0
seq483,64.99714308874111,3.0
seq484,64.99714308874111,3.0
seq485,65.07894314819421,3.0
seq486,65.14140332967018,3.0
seq487,65.14140332967018,3.0
seq488,65.14140332967018,3.0
seq489,65.14140332967018,3.0
seq490,65.26555709277058,3.0
seq491,65.26016262735108,3.0
seq492,65.26016262735108,3.0
seq493,65.26016262735108,3.0
seq494,65.26016262735108,3.0
seq495,65.26016262735108,3.0
seq496,65.26016262735108,3.0
seq497,65.26016262735108,3.0
seq498,65.26016262735108,3.0
seq499,65.20655440643688,3.0
seq500,62.26037092267374,3.0
seq501,62.26037092267374,3.0
seq502,62.31361293248496,3.0
seq503,62.52456222638446,3.0
seq504,62.52456222638446,3.0
seq505,62.54463087678079,3.0
seq506,62.54463087678079,3.0
seq507,62.54463087678079,3.0
seq508,62.62352328979517,3.0
seq509,62.62352328979517,3.0
seq510,62.663877849015506,3.0
seq511,62.663877849015506,3.0
seq512,62.73376322698047,3.0
seq513,62.82872049111302,3.0
seq514,63.129948673204744,3.0
seq515,63.129948673204744,3.0
seq516,63.14130007854122,3.0
seq517,63.16144809769638,3.0
seq518,63.18936613153839,3.0
seq519,63.237259001832065,3.0
seq520,63.237259001832065,3.0
seq521,63.237259001832065,3.0
seq522,63.237259001832065,3.0
seq523,63.237259001832065,3.0
seq524,63.28814005462554,3.0
seq525,63.288589953883566,3.0
seq526,63.26335794451251,3.0
seq527,63.35504680297644,3.0
seq528,63.377593882965755,3.0
seq529,63.377593882965755,3.0
seq530,63.3892383093477,3.0
seq531,63.57485663923929,3.0
seq532,63.57485663923929,3.0
seq533,63.57485663923929,3.0
seq534,63.63519966225248,3.0
seq535,63.63519966225248,3.0
seq536,63.65997429749229,3.0
seq537,63.65997429749229,3.0
seq538,63.643580929124475,3.0
seq539,63.643580929124475,3.0
seq540,63.643580929124475,3.0
seq541,63.69850479481551,3.0
seq542,63.66475095072344,3.0
seq543,63.78379727266026,3.0
seq544,63.78379727266026,3.0
seq545,63.839273525411116,3.0
seq546,63.839273525411116,3.0
seq547,63.839273525411116,3.0
seq548,63.90673434324364,3.0
seq549,63.90673434324364,3.0
seq550,64.03961536454537,3.0
seq551,64.03961536454537,3.0
seq552,64.03961536454537,3.0
seq553,64.03961536454537,3.0
seq554,64.03961536454537,3.0
seq555,64.03961536454537,3.0
seq556,64.03961536454537,3.0
seq557,64.07431787763055,3.0
seq558,64.07285219808729,3.0
seq559,64.1957176262881,3.0
seq560,64.1957176262881,3.0
seq561,64.4675376976432,3.0
seq562,64.4675376976432,3.0
seq563,64.4675376976432,3.0
seq564,64.46521149822027,3.0
seq565,64.46521149822027,3.0
seq566,64.46521149822027,3.0
seq567,64.46521149822027,3.0
seq568,64.46521149822027,3.0
seq569,64.46521149822027,3.0
seq570,64.46521149822027,3.0
seq571,64.45357465270276,3.0
seq572,64.45357465270276,3.0
seq573,64.45357465270276,3.0
seq574,64.45357465270276,3.0
seq575,64.45357465270276,3.0
seq576,64.45939059620831,3.0
seq577,64.4570847302749,3.0
seq578,64.4570847302749,3.0
seq579,64.4570847302749,3.0
seq580,64.4570847302749,3.0
seq581,64.4570847302749,3.0
seq582,64.4570847302749,3.0
seq583,64.4570847302749,3.0
seq584,64.4570847302749,3.0
seq585,64.4570847302749,3.0
seq586,64.83305336615906,3.0
seq587,65.0218828824464,3.0
seq588,65.0218828824464,3.0
seq589,65.0218828824464,3.0
seq590,65.0218828824464,3.0
seq591,65.0218828824464,3.0
seq592,65.06949007768546,3.0
seq593,65.06949007768546,3.0
seq594,65.06949007768546,3.0
seq595,65.04147008253112,3.0
seq596,65.04147008253112,3.0
seq597,65.04147008253112,3.0
seq598,65.04147008253112,3.0
seq599,65.04147008253112,3.0
seq600,61.745909877879924,3.0
seq601,61.80869915574026,3.0
seq602,61.89800592041528,3.0
seq603,61.950024111656234,3.0
seq604,62.25762101470166,3.0
seq605,62.41340890252273,3.0
seq606,62.46243134597846,3.0
seq607,62.497674532567146,3.0
seq608,62.56956201146084,3.0
seq609,62.58726749561807,3.0
seq610,62.63030992345242,3.0
seq611,62.74873234304974,3.0
seq612,62.78044076948286,3.0
seq613,62.78044076948286,3.0
seq614,62.86187448135304,3.0
seq615,62.96699475246422,3.0
seq616,62.955078006431016,3.0
seq617,62.955078006431016,3.0
seq618,62.96896408669684,3.0
seq619,62.96896408669684,3.0
seq620,63.018281094257595,3.0
seq621,63.084190056002775,3.0
seq622,63.084190056002775,3.0
seq623,63.084190056002775,3.0
seq624,63.11017357860908,3.0
seq625,63.11017357860908,3.0
seq626,63.17888029564228,3.0
seq627,63.25347408780657,3.0
seq628,63.42646445079934,3.0
seq629,63.47182379149825,3.0
seq630,63.47182379149825,3.0
seq631,63.47182379149825,3.0
seq632,63.65652032781049,3.0
seq633,63.6961747841891,3.0
seq634,63.82168245981483,3.0
seq635,63.849154958927414,3.0
seq636,63.86255184325669,3.0
seq637,64.06951142620515,3.0
seq638,64.0889246534974,3.0
seq639,64.0889246534974,3.0
seq640,64.0889246534974,3.0
seq641,64.0889246534974,3.0
seq642,64.0889246534974,3.0
seq643,64.18834830137796,3.0
seq644,64.31100751657316,3.0
seq645,64.31100751657316,3.0
seq646,64.31100751657316,3.0
seq647,64.31100751657316,3.0
seq648,64.31100751657316,3.0
seq649,64.31100751657316,3.0
seq650,64.31100751657316,3.0
seq651,64.31100751657316,3.0
seq652,64.46166224157808,3.0
seq653,64.46166224157808,3.0
seq654,64.46166224157808,3.0
seq655,64.46166224157808,3.0
seq656,64.46166224157808,3.0
seq657,64.45016492138633,3.0
seq658,64.46166224157808,3.0
seq659,64.46166224157808,3.0
seq660,64.46166224157808,3.0
seq661,64.46166224157808,3.0
seq662,64.65179286108769,3.0
seq663,64.65179286108769,3.0
seq664,64.65179286108769,3.0
seq665,64.65628163830867,3.0
seq666,64.65628163830867,3.0
seq667,64.65628163830867,3.0
seq668,64.65033859717747,3.0
seq669,64.65033859717747,3.0
seq670,64.65033859717747,3.0
seq671,64.65033859717747,3.0
seq672,64.65033859717747,3.0
seq673,64.72725511456528,3.0
seq674,64.72725511456528,3.0
seq675,64.72725511456528,3.0
seq676,64.72855030451753,3.0
seq677,64.72855030451753,3.0
seq678,64.89358152674647,3.0
seq679,64.88742994345719,3.0
seq680,64.92421302390585,3.0
seq681,64.94796052124413,3.0
seq682,64.94796052124413,3.0
seq683,64.94796052124413,3.0
seq684,64.94796052124413,3.0
seq685,65.06618886925486,3.0
seq686,65.06618886925486,3.0
seq687,65.06618886925486,3.0
seq688,65.06618886925486,3.0
seq689,65.06618886925486,3.0
seq690,65.07266544637496,3.0
seq691,65.07266544637496,3.0
seq692,65.07266544637496,3.0
seq693,65.07266544637496,3.0
seq694,65.07266544637496,3.0
seq695,65.07266544637496,3.0
seq696,65.12216784982043,3.0
seq697,65.12216784982043,3.0
seq698,65.12216784982043,3.0
seq699,65.12216784982043,3.0
seq700,61.64507701358656,3.0
seq701,61.6506065104891,3.0
seq702,61.75734464489345,3.0
seq703,62.12423544242952,3.0
seq704,62.12391693267375,3.0
seq705,62.14485962066204,3.0
seq706,62.14485962066204,3.0
seq707,62.211733321421676,3.0
seq708,62.30685760870701,3.0
seq709,62.30685760870701,3.0
seq710,62.54005915675598,3.0
seq711,62.54005915675598,3.0
seq712,62.693164068097914,3.0
seq713,62.80129474498824,3.0
seq714,62.80129474498824,3.0
seq715,62.842130584523474,3.0
seq716,62.842130584523474,3.0
seq717,62.842130584523474,3.0
seq718,62.842130584523474,3.0
seq719,62.90276394174844,3.0
seq720,62.90276394174844,3.0
seq721,62.90276394174844,3.0
seq722,62.90276394174844,3.0
seq723,62.94540296488887,3.0
seq724,63.021779479051006,3.0
seq725,63.021779479051006,3.0
seq726,63.070024255976264,3.0
seq727,63.09115465902705,3.0
seq728,63.14651100031561,3.0
seq729,63.34275942926529,3.0
seq730,63.34275942926529,3.0
seq731,63.34275942926529,3.0
seq732,63.40091151448659,3.0
seq733,63.40091151448659,3.0
seq734,63.40091151448659,3.0
seq735,63.50853836039076,3.0
seq736,63.50783044255419,3.0
seq737,63.563131535196575,3.0
seq738,63.63386793160765,3.0
seq739,63.66135167919988,3.0
seq740,63.7191308384761,3.0
seq741,63.745731558314596,3.0
seq742,63.815298644060725,3.0
seq743,63.82385968979972,3.0
seq744,63.82385968979972,3.0
seq745,63.92256615764686,3.0
seq746,63.92256615764686,3.0
seq747,63.92256615764686,3.0
seq748,63.92256615764686,3.0
seq749,63.95197508918335,3.0
seq750,63.95197508918335,3.0
seq751,64.16928071762571,3.0
seq752,64.16928071762571,3.0
seq753,64.16928071762571,3.0
seq754,64.22110056657445,3.0
seq755,64.22110056657445,3.0
seq756,64.43345405472077,3.0
seq757,64.43345405472077,3.0
seq758,64.43345405472077,3.0
seq759,64.43345405472077,3.0
seq760,64.46246875432135,3.0
seq761,64.46246875432135,3.0
seq762,64.46246875432135,3.0
seq763,64.51765495018766,3.0
seq764,64.51765495018766,3.0
seq765,64.51765495018766,3.0
seq766,64.68715334460084,3.0
seq767,64.65442618297327,3.0
seq768,64.61659124046339,3.0
seq769,64.71858161492857,3.0
seq770,64.71858161492857,3.0
seq771,64.71858161492857,3.0
seq772,64.71858161492857,3.0
seq773,64.71858161492857,3.0
seq774,64.75009803116106,3.0
seq775,64.75009803116106,3.0
seq776,64.74330256283193,3.0
seq777,64.74330256283193,3.0
seq778,64.72973335587346,3.0
seq779,64.72973335587346,3.0
seq780,64.72973335587346,3.0
seq781,64.72973335587346,3.0
seq782,64.72808174931988,3.0
seq783,64.72808174931988,3.0
seq784,64.72808174931988,3.0
seq785,64.72808174931988,3.0
seq786,64.74335145104996,3.0
seq787,64.74335145104996,3.0
seq788,64.74335145104996,3.0
seq789,64.74335145104996,3.0
seq790,64.74335145104996,3.0
seq791,64.74335145104996,3.0
seq792,64.74335145104996,3.0
seq793,64.74335145104996,3.0
seq794,64.74335145104996,3.0
seq795,64.74335145104996,3.0
seq796,64.74335145104996,3.0
seq797,64.74335145104996,3.0
seq798,64.74335145104996,3.0
seq799,64.72998325388328,3.0
seq800,62.01234654117963,3.0
seq801,62.57599093006065,3.0
seq802,62.56244001572543,3.0
seq803,62.63619104012939,3.0
seq804,62.605026837399606,3.0
seq805,62.67418983916432,3.0
seq806,62.67418983916432,3.0
seq807,62.65790750489458,3.0
seq808,62.78137881205945,3.0
seq809,62.82090673817501,3.0
seq810,62.94647472128126,3.0
seq811,62.946282439178546,3.0
seq812,62.9733440108193,3.0
seq813,63.252360409680406,3.0
seq814,63.2071684142336,3.0
seq815,63.2071684142336,3.0
seq816,63.247403481742026,3.0
seq817,63.247403481742026,3.0
seq818,63.247403481742026,3.0
seq819,63.247403481742026,3.0
seq820,63.31511280051025,3.0
seq821,63.31511280051025,3.0
seq822,63.31511280051025,3.0
seq823,63.28866673199377,3.0
seq824,63.28866673199377,3.0
seq825,63.28866673199377,3.0
seq826,63.28866673199377,3.0
seq827,63.28866673199377,3.0
seq828,63.28866673199377,3.0
seq829,63.28866673199377,3.0
seq830,63.28866673199377,3.0
seq831,63.28866673199377,3.0
seq832,63.339433917382934,3.0
seq833,63.339433917382934,3.0
seq834,63.43637291622815,3.0
seq835,63.51255387060251,3.0
seq836,63.51255387060251,3.0
seq837,63.51255387060251,3.0
seq838,63.61641581712515,3.0
seq839,63.61641581712515,3.0
seq840,63.66672793987894,3.0
seq841,63.69480987161947,3.0
seq842,63.69480987161947,3.0
seq843,63.69480987161947,3.0
seq844,64.0070892795263,3.0
seq845,64.0070892795263,3.0
seq846,64.04507570072285,3.0
seq847,64.04507570072285,3.0
seq848,64.02056693677245,3.0
seq849,64.13242707246384,3.0
seq850,64.14496092332269,3.0
seq851,64.14496092332269,3.0
seq852,64.14496092332269,3.0
seq853,64.25669346444133,3.0
seq854,64.25669346444133,3.0
seq855,64.25669346444133,3.0
seq856,64.43323760324037,3.0
seq857,64.43323760324037,3.0
seq858,64.43323760324037,3.0
seq859,64.47606679212313,3.0
seq860,64.47606679212313,3.0
seq861,64.47606679212313,3.0
seq862,64.47606679212313,3.0
seq863,64.47606679212313,3.0
seq864,64.47606679212313,3.0
seq865,64.47606679212313,3.0
seq866,64.4657861377555,3.0
seq867,64.4657861377555,3.0
seq868,64.56213677421927,3.0
seq869,64.56213677421927,3.0
seq870,64.56213677421927,3.0
seq871,64.55118848219543,3.0
