seqid,model_score
404,1369.3075
405,1370.5189
406,1367.6244
407,1368.5756
408,1368.5908
409,1369.6915
410,1372.0693
411,1353.3715
412,1355.7708
413,1355.2799
414,1354.4015
415,1355.6803
416,1355.2657
417,1356.5803
418,1356.6359
419,1356.4869
420,1358.1757
421,1358.5854
422,1364.0946
423,1364.1584
424,1363.7535
425,1363.6931
426,1363.2035
427,1363.3346
428,1362.2611
429,1363.9078
430,1365.716
431,1365.1863
432,1365.7838
433,1368.1182
434,1367.592
435,1367.4847
436,1366.9955
437,1369.247
438,1370.345
439,1368.6647
440,1354.9313
441,1355.3704
442,1354.8254
443,1356.4419
444,1357.6918
445,1358.4668
446,1356.1022
447,1359.1777
448,1359.6041
449,1358.493
450,1358.434
451,1356.9655
452,1357.5332
453,1354.9846
454,1356.6859
455,1361.278
456,1361.9963
457,1361.7292
458,1362.0059
459,1361.0951
460,1362.7515
461,1362.6927
462,1365.7572
463,1366.9022
464,1368.3055
465,1369.4508
466,1368.3995
467,1366.2393
468,1345.8899
469,1346.7959
470,1346.7986
471,1347.0385
472,1347.7495
473,1348.1635
474,1348.4551
475,1355.9371
476,1357.1887
477,1357.6858
478,1358.6691
479,1356.5792
480,1357.4746
481,1357.7826
482,1357.8228
483,1357.8726
484,1356.9017
485,1356.1536
486,1355.9169
487,1355.2985
488,1351.7861
489,1352.0702
490,1351.245
491,1353.1082
492,1353.9468
493,1357.5734
494,1359.3455
